Gene,Score
D6VPM8,0.13537902462429688
D6VTK4,0.15280347267290803
D6W196,0.14982402122419905
O13297,0.15870062798290813
O13329,0.156764804121945
O13516,0.18855570569478428
O13525,0.13041762125631415
O13539,0.2180019139022623
O13559,0.13370957627205662
O13563,0.16194924021722082
O13577,0.1429457179574025
O13578,0.14922566692280634
O14455,0.1762371996701373
O14464,0.21270403735470314
O14467,0.14034799965453604
O60200,0.2337927071381999
O74700,0.14436052578312994
O75012,0.15849412695648654
O94742,0.1891206211672398
P00044,0.17087122235015537
P00045,0.13664788647949133
P00127,0.1804769028282736
P00128,0.17460557666980175
P00175,0.13138436725377747
P00330,0.19008841478970268
P00358,0.17790623125081706
P00359,0.23404871843175895
P00360,0.16073871611766954
P00424,0.1869005099895832
P00425,0.1489629780082361
P00427,0.2439790872244054
P00431,0.15512106104764073
P00445,0.26349536646557387
P00447,0.17428456916636262
P00546,0.6015232293119891
P00549,0.1913884141464136
P00560,0.1501216666531219
P00572,0.16961322188679567
P00724,0.15301954454251468
P00729,0.14435773598128243
P00812,0.1513525627672474
P00817,0.20986514072096377
P00830,0.22492784867642363
P00854,0.1421670395547931
P00890,0.1657827191773773
P00924,0.1703260887088725
P00925,0.1796343492128308
P00927,0.23690378398451112
P00931,0.1361787757474477
P00942,0.16689386785688365
P00950,0.14776684536804166
P00958,0.20437210313178839
P01094,0.14176768321315575
P01097,0.15209652602310303
P01098,0.14593236445838134
P01119,0.14660189030341778
P01120,0.27791718605051413
P01123,0.3422303266116359
P02293,0.17626631258698536
P02294,0.17839005228218663
P02400,0.2543697426420819
P02406,0.22233019242176055
P02407,0.18985908700164403
P02557,0.24720741762156156
P02992,0.15978361554912826
P03069,0.19077194211374038
P03874,0.1409686953765229
P03879,0.13445727733594093
P03962,0.14437869220703978
P04037,0.248326695601929
P04039,0.1765954124551703
P04050,0.29819316400262885
P04051,0.22130984651052196
P04076,0.13343458451119253
P04147,0.33676161902195556
P04161,0.15057131785316452
P04386,0.15489565407820674
P04387,0.16533255414888728
P04397,0.1513457284103845
P04449,0.24796834291413536
P04456,0.20940891980852075
P04650,0.15746263311334274
P04710,0.1445161144238098
P04786,0.20120341651191714
P04801,0.18555831271703593
P04802,0.14066588047292988
P04803,0.13781292717454
P04806,0.14878481540034202
P04807,0.18391639002029891
P04817,0.1685722627835103
P04819,0.2224316074715852
P04821,0.2594503211618232
P04840,0.23879108690541084
P04911,0.19100709922458836
P04912,0.10742659376321703
P05030,0.40360523506019086
P05066,0.13131688018749063
P05085,0.14206342190827018
P05150,0.14053335769311168
P05316,0.14589682027915474
P05317,0.29506132346057945
P05318,0.282155463932641
P05319,0.18291498812147727
P05373,0.14761628109274952
P05374,0.27609515474985724
P05375,0.2574005154864074
P05453,0.5217658465177402
P05626,0.17047253759058778
P05694,0.190751436630829
P05737,0.20718793401406746
P05738,0.20883480106419877
P05739,0.2743150743486014
P05740,0.24286770387278586
P05743,0.1756423853537723
P05744,0.19634775281463301
P05745,0.244251013615257
P05747,0.20744377018075116
P05748,0.2410040611599458
P05749,0.2862141736212156
P05750,0.24516907028897686
P05755,0.1942523877335368
P05756,0.2105286615728684
P05759,0.156603543306759
P05986,0.17468279043303647
P06100,0.1857928952850745
P06102,0.18259611665575332
P06104,0.17274005262421735
P06105,0.2289179988065887
P06106,0.15987395249681927
P06115,0.14404806276321214
P06168,0.1608813266602891
P06169,0.16298817612853148
P06182,0.15831035408833108
P06197,0.15390023942551423
P06208,0.15663529956900454
P06242,0.26412745523159437
P06243,0.20494812316641867
P06244,0.18693590860329623
P06245,0.2006886177346659
P06367,0.23503598860165306
P06634,0.3197055380731438
P06700,0.20862450067590413
P06701,0.14841227833511275
P06704,0.15058197474984097
P06774,0.16559264980034916
P06775,0.14704140284676798
P06776,0.22507177868536216
P06777,0.16560666749119501
P06778,0.21166531595708238
P06779,0.14767048092033844
P06780,0.19392679506874436
P06781,0.17955433458039768
P06782,0.2902923328740753
P06783,0.14241633592431158
P06785,0.20558227982085234
P06786,0.18598780067195497
P06787,0.37764544459359256
P06838,0.14880571376630075
P06839,0.17147173558644585
P06843,0.21363194197781032
P06844,0.25328246640594765
P07143,0.2521645667303561
P07149,0.14565222856444812
P07170,0.16434968434270325
P07213,0.21536921000317297
P07245,0.15652952317004948
P07246,0.19143380653306308
P07248,0.15294543504298708
P07249,0.15357209644275313
P07250,0.13301069032981086
P07251,0.19547376291439017
P07252,0.15109769870771464
P07253,0.15835023499345324
P07255,0.1749186079573939
P07256,0.21346588712458212
P07257,0.24097847447782367
P07259,0.17126132541999678
P07260,0.17313819281055923
P07261,0.1289421363328272
P07262,0.15900527525554237
P07263,0.16999576213990206
P07264,0.16356532132102153
P07266,0.15137481208823048
P07267,0.1781234203474995
P07269,0.15164079538017103
P07270,0.22495343629552758
P07271,0.18016717847927138
P07272,0.14917426779332
P07273,0.2663022879135907
P07274,0.3425571705453571
P07275,0.155631238133097
P07276,0.13597828940033158
P07277,0.14637950205063532
P07278,0.21741066581137392
P07281,0.20621727687669103
P07283,0.20212008898639422
P07285,0.13467065304096765
P07286,0.1406803902302049
P07342,0.13925814567084346
P07390,0.15562642798655454
P07560,0.22260256600464068
P07703,0.2117424212326602
P07806,0.14775575054789694
P07807,0.22788768816504967
P07834,0.2568743257516602
P07884,0.17789077394098896
P07991,0.1560062670656513
P08004,0.18291570704340224
P08067,0.20417633176861033
P08153,0.19348736528689953
P08417,0.28998469962066115
P08425,0.15044473423977886
P08456,0.14407680611817333
P08458,0.13781167295749355
P08459,0.1584539727342804
P08466,0.15367977441227143
P08468,0.16053957684230968
P08518,0.2542179809565625
P08524,0.15027820327873967
P08525,0.18920183940760038
P08536,0.13949892339566863
